ID_CLIENTE,SAFRA_REF,PROBABILIDADE_INADIMPLENCIA
5058298901476893676,2021-07-01,0.0934255185586913
274692171162531764,2021-07-01,0.04940543735198993
274692171162531764,2021-07-01,0.04940543735198993
274692171162531764,2021-07-01,0.04953288949651727
465309249432033993,2021-07-01,0.007049678742296667
465309249432033993,2021-07-01,0.011881132030819709
465309249432033993,2021-07-01,0.011881132030819709
465309249432033993,2021-07-01,0.011881132030819709
5883155883105348987,2021-07-01,0.03114096047905071
5883155883105348987,2021-07-01,0.029625810230693495
4489904752023469353,2021-07-01,0.02320241775199174
3355881107559250653,2021-07-01,0.045865487998086846
3355881107559250653,2021-07-01,0.048557165969874035
3355881107559250653,2021-07-01,0.05028821513863765
3355881107559250653,2021-07-01,0.04665869728220541
3355881107559250653,2021-07-01,0.05606519432567529
3355881107559250653,2021-07-01,0.048557165969874035
3355881107559250653,2021-07-01,0.048557165969874035
6330043096034525408,2021-07-01,0.2531415749857855
6330043096034525408,2021-07-01,0.3376978810693763
6964108750473070287,2021-07-01,0.04189374713031838
6964108750473070287,2021-07-01,0.03075274923139827
6964108750473070287,2021-07-01,0.031244176821493164
6964108750473070287,2021-07-01,0.04189374713031838
6964108750473070287,2021-07-01,0.04189374713031838
6964108750473070287,2021-07-01,0.04321490606178835
6964108750473070287,2021-07-01,0.04321490606178835
6964108750473070287,2021-07-01,0.04189374713031838
6964108750473070287,2021-07-01,0.031244176821493164
6964108750473070287,2021-07-01,0.04189374713031838
6964108750473070287,2021-07-01,0.031244176821493164
6964108750473070287,2021-07-01,0.03417487159114381
6964108750473070287,2021-07-01,0.03075274923139827
6964108750473070287,2021-07-01,0.04321490606178835
6964108750473070287,2021-07-01,0.04321490606178835
6964108750473070287,2021-07-01,0.03075274923139827
4008627434689715639,2021-07-01,0.7516901210582493
4008627434689715639,2021-07-01,0.7662623624146361
4008627434689715639,2021-07-01,0.6337181096654095
5757271354816214865,2021-07-01,0.9708690131579482
5757271354816214865,2021-07-01,0.9915351753249688
5757271354816214865,2021-07-01,0.9712561920276369
5757271354816214865,2021-07-01,0.9708690131579482
5757271354816214865,2021-07-01,0.9702872963471855
5757271354816214865,2021-07-01,0.954121694474599
5757271354816214865,2021-07-01,0.9646578683917065
5757271354816214865,2021-07-01,0.9698967802708891
5757271354816214865,2021-07-01,0.9610480892022099
5757271354816214865,2021-07-01,0.9657551419412886
5757271354816214865,2021-07-01,0.9743209328922702
5757271354816214865,2021-07-01,0.9895476424755648
5757271354816214865,2021-07-01,0.9724109731802953
5757271354816214865,2021-07-01,0.964907551819661
5757271354816214865,2021-07-01,0.964907551819661
8909740532547211288,2021-07-01,0.05166680818332463
8909740532547211288,2021-07-01,0.05166680818332463
8909740532547211288,2021-07-01,0.05250885042086777
4045739494965095560,2021-07-01,0.009669041778565762
4045739494965095560,2021-07-01,0.009669041778565762
4045739494965095560,2021-07-01,0.007620266638421203
6759864637454708017,2021-07-01,0.046321448440135936
6759864637454708017,2021-07-01,0.04500548678225056
6759864637454708017,2021-07-01,0.04442639057948014
6759864637454708017,2021-07-01,0.08865749226768439
6759864637454708017,2021-07-01,0.0911280437202152
6759864637454708017,2021-07-01,0.08865749226768439
6134696632487351445,2021-07-01,0.01047291476844656
6134696632487351445,2021-07-01,0.012484079417532082
6134696632487351445,2021-07-01,0.010523452425438317
5373371196946859811,2021-07-01,0.036168465783909975
3095686599956852697,2021-07-01,0.005150222693371471
3095686599956852697,2021-07-01,0.004640729434664622
3095686599956852697,2021-07-01,0.005954029442958475
1616952665234409442,2021-07-01,0.09088321130419053
1616952665234409442,2021-07-01,0.09057966662664682
1088521227159442264,2021-07-01,0.01936575151646113
1088521227159442264,2021-07-01,0.021159380561298975
1088521227159442264,2021-07-01,0.01936575151646113
8529899700094903171,2021-07-01,0.04702917478927977
8529899700094903171,2021-07-01,0.06582797214628734
8529899700094903171,2021-07-01,0.046912802085980414
8529899700094903171,2021-07-01,0.04534985488038295
8529899700094903171,2021-07-01,0.04702917478927977
8529899700094903171,2021-07-01,0.04751221947854226
8529899700094903171,2021-07-01,0.04751221947854226
499242942549937267,2021-07-01,0.23805161021496443
499242942549937267,2021-07-01,0.10391602314348196
499242942549937267,2021-07-01,0.10391602314348196
499242942549937267,2021-07-01,0.14312273718169294
499242942549937267,2021-07-01,0.14312273718169294
499242942549937267,2021-07-01,0.23805161021496443
499242942549937267,2021-07-01,0.08881643325898782
499242942549937267,2021-07-01,0.15294367956431443
499242942549937267,2021-07-01,0.1790574724048352
5897410907783139228,2021-07-01,0.04169937624549578
5897410907783139228,2021-07-01,0.04216719525839553
5897410907783139228,2021-07-01,0.04236516942473801
5897410907783139228,2021-07-01,0.05471252489627002
2083323809219952960,2021-07-01,0.023942050323411436
2083323809219952960,2021-07-01,0.023942050323411436
2083323809219952960,2021-07-01,0.023942050323411436
2083323809219952960,2021-07-01,0.023942050323411436
2083323809219952960,2021-07-01,0.02293604365509898
2083323809219952960,2021-07-01,0.023942050323411436
2083323809219952960,2021-07-01,0.02157338950374008
2083323809219952960,2021-07-01,0.023942050323411436
2083323809219952960,2021-07-01,0.023942050323411436
2083323809219952960,2021-07-01,0.023942050323411436
1953058402621337677,2021-07-01,0.022475168577900353
1953058402621337677,2021-07-01,0.005246429975633292
1953058402621337677,2021-07-01,0.0005537641562114958
1953058402621337677,2021-07-01,0.01822722602421028
3408536439470975134,2021-07-01,0.012344489073271786
3408536439470975134,2021-07-01,0.012344489073271786
3408536439470975134,2021-07-01,0.012344489073271786
3408536439470975134,2021-07-01,0.015017420019811285
5687511145009775604,2021-07-01,0.3083450646894523
5687511145009775604,2021-07-01,0.960833111299471
7485107528960607346,2021-07-01,0.16847166985807155
7485107528960607346,2021-07-01,0.1582533779937429
531805620371082364,2021-07-01,0.029513678858328025
5761480994209806499,2021-07-01,0.008413432687710184
5761480994209806499,2021-07-01,0.0075547007670281295
5761480994209806499,2021-07-01,0.007346709897374821
5761480994209806499,2021-07-01,0.007826870736088459
5761480994209806499,2021-07-01,0.008413432687710184
5761480994209806499,2021-07-01,0.007826870736088459
5761480994209806499,2021-07-01,0.008433194786219404
5761480994209806499,2021-07-01,0.0072986040638099315
5761480994209806499,2021-07-01,0.006842082010404315
5761480994209806499,2021-07-01,0.007723400041207033
5761480994209806499,2021-07-01,0.007387012897989537
5761480994209806499,2021-07-01,0.008433194786219404
5761480994209806499,2021-07-01,0.006010011690298745
5761480994209806499,2021-07-01,0.006010011690298745
5761480994209806499,2021-07-01,0.007192800019139407
5761480994209806499,2021-07-01,0.007724844257795609
4762256864594914240,2021-07-01,0.02800826054578833
8570963260597299378,2021-07-01,0.006182229457292393
5974858472822751652,2021-07-01,0.028509363028622912
3421433989501830226,2021-07-01,0.9719026586983456
4327694790333781288,2021-07-01,0.016219566546310266
4327694790333781288,2021-07-01,0.018618539023463214
8173830874846355280,2021-07-01,0.024667055304903665
8173830874846355280,2021-07-01,0.024667055304903665
8173830874846355280,2021-07-01,0.02504899941231321
8173830874846355280,2021-07-01,0.02504899941231321
8173830874846355280,2021-07-01,0.02504899941231321
8173830874846355280,2021-07-01,0.02504899941231321
8173830874846355280,2021-07-01,0.024667055304903665
8173830874846355280,2021-07-01,0.03971207010896577
8173830874846355280,2021-07-01,0.03704816855820298
8173830874846355280,2021-07-01,0.032640350178712856
2347028805684088098,2021-07-01,0.03456057471530797
3632378524835692731,2021-07-01,0.027734680633346245
